run_index,drill_id,family,seed,driver,passed,infrastructure_error,final_state,failed_invariants,unmet_expectations,faults_injected,tool_calls,tool_denials,duplicate_receipts,model_calls,wall_clock_s,committed,quarantined,unresolved,in_flight,total_containers,error
1,D1,signal,20260826,agent,True,False,ABORTED_SAFE,,,0,20,0,1,4,116.96,0,0,0,42,42,
2,D2,core,20260826,agent,True,False,CLOSED,,,0,162,0,2,11,272.01,42,0,0,0,42,
3,D3,idempotency,20260826,agent,True,False,CAPACITY_RESERVED,,,0,38,0,0,6,132.88,0,0,0,42,42,
4,D5,idempotency,20260826,agent,True,False,CLOSED,,,1,149,0,1,11,211.32,42,0,0,0,42,
5,D8,safety,20260826,agent,False,False,CLOSED,N11,all_invariants_hold;incident_not_closed,0,188,0,1,11,582.93,0,42,0,0,42,
6,D9,memory,20260826,agent,True,False,RECONCILING,,,0,143,0,0,10,178.59,42,0,0,0,42,
7,D10,security,20260826,agent,True,False,RECONCILING,,,0,131,2,0,8,138.16,0,0,0,42,42,
8,D13,partial,20260826,agent,True,False,RECONCILING,,,0,137,0,0,12,208.85,40,0,0,2,42,
9,D16,governance,20260826,agent,True,False,ESCALATED,,,0,38,0,0,8,191.12,0,0,0,42,42,
10,D1,signal,20260927,agent,True,False,ABORTED_SAFE,,,0,22,0,1,4,104.46,0,0,0,42,42,
11,D2,core,20260927,agent,True,False,CLOSED,,,0,148,0,1,10,242.77,42,0,0,0,42,
12,D3,idempotency,20260927,agent,True,False,CAPACITY_RESERVED,,,0,36,0,0,6,151.75,0,0,0,42,42,
13,D5,idempotency,20260927,agent,True,False,CLOSED,,,1,151,0,1,11,238.33,42,0,0,0,42,
14,D8,safety,20260927,agent,True,False,RECONCILING,,,0,185,0,0,12,270.79,0,41,0,1,42,
15,D9,memory,20260927,agent,True,False,RECONCILING,,,0,145,0,0,10,166.7,42,0,0,0,42,
16,D10,security,20260927,agent,True,False,RECONCILING,,,0,135,2,0,8,175.36,0,0,0,42,42,
17,D13,partial,20260927,agent,True,False,RECONCILING,,,0,143,0,0,12,212.6,40,0,0,2,42,
18,D16,governance,20260927,agent,True,False,ESCALATED,,,0,39,0,1,8,311.2,0,0,0,42,42,
