run_index,drill_id,family,seed,driver,passed,infrastructure_error,final_state,failed_invariants,unmet_expectations,faults_injected,tool_calls,tool_denials,duplicate_receipts,model_calls,wall_clock_s,committed,quarantined,unresolved,in_flight,total_containers,error
1,D1,signal,20260826,scripted,True,False,OBSERVING,,,0,3,0,0,0,0.03,0,0,0,0,0,
2,D2,core,20260826,scripted,True,False,CLOSED,,,0,105,0,0,0,0.49,42,0,0,0,42,
3,D3,idempotency,20260826,scripted,True,False,CAPACITY_RESERVED,,,0,12,0,0,0,0.06,0,0,0,42,42,
4,D4,concurrency,20260826,scripted,True,False,CLOSED,,,0,106,0,0,0,0.5,42,0,0,0,42,
5,D5,idempotency,20260826,scripted,True,False,CLOSED,,,1,107,0,0,0,0.56,42,0,0,0,42,
6,D6,idempotency,20260826,scripted,True,False,CLOSED,,,1,105,0,0,0,0.46,42,0,0,0,42,
7,D7,recovery,20260826,scripted,True,False,CLOSED,,,1,105,0,0,0,0.52,42,0,0,0,42,
8,D8,safety,20260826,scripted,True,False,RECONCILING,,,0,146,0,0,0,0.61,0,0,42,0,42,
9,D9,memory,20260826,scripted,True,False,CLOSED,,,0,105,0,0,0,0.56,42,0,0,0,42,
10,D10,security,20260826,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.33,0,0,0,42,42,
11,D11,security,20260826,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.06,0,0,0,42,42,
12,D12,idempotency,20260826,scripted,True,False,CLOSED,,,0,106,0,1,0,0.52,42,0,0,0,42,
13,D13,partial,20260826,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.51,40,0,0,2,42,
14,D14,partial,20260826,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.54,41,0,0,1,42,
15,D15,availability,20260826,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.04,0,0,0,42,42,
16,D16,governance,20260826,scripted,True,False,RESCUE_PLANNING,,,0,29,0,0,0,0.1,0,0,0,42,42,
17,D17,availability,20260826,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.05,0,0,0,42,42,
18,D18,recovery,20260826,scripted,True,False,CLOSED,,,0,105,0,0,0,0.53,42,0,0,0,42,
19,H1,idempotency,20260826,scripted,True,False,CLOSED,,,1,105,0,0,0,0.55,42,0,0,0,42,
20,H2,safety,20260826,scripted,True,False,CLOSED,,,0,106,0,0,0,0.55,42,0,0,0,42,
21,H3,partial,20260826,scripted,True,False,RECONCILING,,,0,105,0,0,0,0.55,41,0,0,1,42,
22,D1,signal,20260927,scripted,True,False,OBSERVING,,,0,3,0,0,0,0.02,0,0,0,0,0,
23,D2,core,20260927,scripted,True,False,CLOSED,,,0,105,0,0,0,0.56,42,0,0,0,42,
24,D3,idempotency,20260927,scripted,True,False,CAPACITY_RESERVED,,,0,12,0,0,0,0.06,0,0,0,42,42,
25,D4,concurrency,20260927,scripted,True,False,CLOSED,,,0,106,0,0,0,0.7,42,0,0,0,42,
26,D5,idempotency,20260927,scripted,True,False,CLOSED,,,1,107,0,0,0,0.65,42,0,0,0,42,
27,D6,idempotency,20260927,scripted,True,False,CLOSED,,,1,105,0,0,0,0.57,42,0,0,0,42,
28,D7,recovery,20260927,scripted,True,False,CLOSED,,,1,105,0,0,0,0.61,42,0,0,0,42,
29,D8,safety,20260927,scripted,True,False,RECONCILING,,,0,146,0,0,0,0.92,0,0,42,0,42,
30,D9,memory,20260927,scripted,True,False,CLOSED,,,0,105,0,0,0,0.61,42,0,0,0,42,
31,D10,security,20260927,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.39,0,0,0,42,42,
32,D11,security,20260927,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.06,0,0,0,42,42,
33,D12,idempotency,20260927,scripted,True,False,CLOSED,,,0,106,0,1,0,0.57,42,0,0,0,42,
34,D13,partial,20260927,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.52,40,0,0,2,42,
35,D14,partial,20260927,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.6,41,0,0,1,42,
36,D15,availability,20260927,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.04,0,0,0,42,42,
37,D16,governance,20260927,scripted,True,False,RESCUE_PLANNING,,,0,27,0,0,0,0.11,0,0,0,42,42,
38,D17,availability,20260927,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.06,0,0,0,42,42,
